_id,ID,Count,Temp,Hum,timestamp
66671a95a1b633cd77421562,185,457,30.62,51.31,2024-06-10T18:24:05.000Z
66671a9ea1b633cd77421563,246,457,31.3,51.5,2024-06-10T18:24:14.000Z
66671aa9a1b633cd77421564,185,458,30.63,51.21,2024-06-10T18:24:25.000Z
66671ab2a1b633cd77421565,246,458,31.33,50.77,2024-06-10T18:24:34.000Z
66671abda1b633cd77421566,185,459,30.61,51.2,2024-06-10T18:24:45.000Z
66671ac6a1b633cd77421567,246,459,31.31,50.77,2024-06-10T18:24:54.000Z
66671ae5a1b633cd77421568,185,461,30.66,51.2,2024-06-10T18:25:25.000Z
66671aeea1b633cd77421569,246,461,31.36,50.7,2024-06-10T18:25:34.000Z
66671b02a1b633cd7742156a,246,462,31.34,50.83,2024-06-10T18:25:54.000Z
66671b0da1b633cd7742156b,185,463,30.68,51.6,2024-06-10T18:26:05.000Z
66671b21a1b633cd7742156c,185,464,30.66,51.2,2024-06-10T18:26:25.000Z
66671b2aa1b633cd7742156d,246,464,31.37,50.41,2024-06-10T18:26:34.000Z
66671b35a1b633cd7742156e,185,465,30.66,50.19,2024-06-10T18:26:45.000Z
66671b3ea1b633cd7742156f,246,465,31.36,50.19,2024-06-10T18:26:54.000Z
66671b49a1b633cd77421570,185,466,30.66,50.38,2024-06-10T18:27:05.000Z
66671b52a1b633cd77421571,246,466,31.36,50.6,2024-06-10T18:27:14.000Z
66671b5da1b633cd77421572,185,467,30.66,50.32,2024-06-10T18:27:25.000Z
66671b66a1b633cd77421573,246,467,31.41,50.6,2024-06-10T18:27:34.000Z
66671b71a1b633cd77421574,185,468,30.68,50.32,2024-06-10T18:27:45.000Z
66671b85a1b633cd77421575,185,469,30.68,50.51,2024-06-10T18:28:05.000Z
66671b8ea1b633cd77421576,246,469,31.37,50,2024-06-10T18:28:14.000Z
66671b99a1b633cd77421577,185,470,30.69,50.8,2024-06-10T18:28:25.000Z
66671ba2a1b633cd77421578,246,470,31.41,50.61,2024-06-10T18:28:34.000Z
66671bada1b633cd77421579,185,471,30.7,50.67,2024-06-10T18:28:45.000Z
66671bb6a1b633cd7742157a,246,471,31.4,50.51,2024-06-10T18:28:54.000Z
66671bcaa1b633cd7742157b,246,472,31.41,50.77,2024-06-10T18:29:14.000Z
66671bd5a1b633cd7742157c,185,473,30.73,50.89,2024-06-10T18:29:25.000Z
66671bdea1b633cd7742157d,246,473,31.41,50.83,2024-06-10T18:29:34.000Z
66671be9a1b633cd7742157e,185,474,30.73,50.73,2024-06-10T18:29:45.000Z
66671bf2a1b633cd7742157f,246,474,31.38,50.22,2024-06-10T18:29:54.000Z
66671bfda1b633cd77421580,185,475,30.75,50.45,2024-06-10T18:30:05.000Z
66671c06a1b633cd77421581,246,475,31.4,50.12,2024-06-10T18:30:14.000Z
66671c11a1b633cd77421582,185,476,30.76,50.35,2024-06-10T18:30:25.000Z
66671c2ea1b633cd77421583,246,477,31.43,49.67,2024-06-10T18:30:54.000Z
66671c42a1b633cd77421584,246,478,31.41,49.9,2024-06-10T18:31:14.000Z
66671c4da1b633cd77421585,185,479,30.76,50.25,2024-06-10T18:31:25.000Z
66671c61a1b633cd77421586,185,480,30.79,50.12,2024-06-10T18:31:45.000Z
66671c75a1b633cd77421587,185,481,30.79,50.12,2024-06-10T18:32:05.000Z
66671c7ea1b633cd77421588,246,481,31.41,49.93,2024-06-10T18:32:14.000Z
66671c89a1b633cd77421589,185,482,30.8,50.12,2024-06-10T18:32:25.000Z
66671c92a1b633cd7742158a,246,482,31.43,49.93,2024-06-10T18:32:34.000Z
66671c9da1b633cd7742158b,185,483,30.83,50.9,2024-06-10T18:32:45.000Z
66671ca6a1b633cd7742158c,246,483,31.43,50.6,2024-06-10T18:32:54.000Z
66671cb1a1b633cd7742158d,185,484,30.83,50.16,2024-06-10T18:33:05.000Z
66671cc5a1b633cd7742158e,185,485,30.86,50.6,2024-06-10T18:33:25.000Z
66671ccea1b633cd7742158f,246,485,31.44,49.93,2024-06-10T18:33:34.000Z
66671cd9a1b633cd77421590,185,486,30.83,50.9,2024-06-10T18:33:45.000Z
66671ce2a1b633cd77421591,246,486,31.47,49.8,2024-06-10T18:33:54.000Z
66671d01a1b633cd77421592,185,488,30.86,50.51,2024-06-10T18:34:25.000Z
66671d0aa1b633cd77421593,246,488,31.45,50.19,2024-06-10T18:34:34.000Z
66671d15a1b633cd77421594,185,489,30.87,50.38,2024-06-10T18:34:45.000Z
66671d1ea1b633cd77421595,246,489,31.54,50.22,2024-06-10T18:34:54.000Z
66671d29a1b633cd77421596,185,490,30.87,50.12,2024-06-10T18:35:05.000Z
66671d46a1b633cd77421597,246,491,31.51,49.38,2024-06-10T18:35:34.000Z
66671d51a1b633cd77421598,185,492,30.87,49.35,2024-06-10T18:35:45.000Z
66671d5aa1b633cd77421599,246,492,31.48,49.9,2024-06-10T18:35:54.000Z
66671d65a1b633cd7742159a,185,493,30.86,49.25,2024-06-10T18:36:05.000Z
66671d6ea1b633cd7742159b,246,493,31.48,48.99,2024-06-10T18:36:14.000Z
66671d79a1b633cd7742159c,185,494,30.84,49.16,2024-06-10T18:36:25.000Z
66671d82a1b633cd7742159d,246,494,31.45,48.8,2024-06-10T18:36:34.000Z
66671d96a1b633cd7742159e,246,495,31.44,48.9,2024-06-10T18:36:54.000Z
66671da1a1b633cd7742159f,185,496,30.81,49.9,2024-06-10T18:37:05.000Z
66671daaa1b633cd774215a0,246,496,31.44,48.96,2024-06-10T18:37:14.000Z
66671db5a1b633cd774215a1,185,497,30.81,49.16,2024-06-10T18:37:25.000Z
66671dc9a1b633cd774215a2,185,498,30.81,49.25,2024-06-10T18:37:45.000Z
66671dd2a1b633cd774215a3,246,498,31.44,49.9,2024-06-10T18:37:54.000Z
66671ddda1b633cd774215a4,185,499,30.81,49.35,2024-06-10T18:38:05.000Z
66671de6a1b633cd774215a5,246,499,31.45,49.16,2024-06-10T18:38:14.000Z
66671df1a1b633cd774215a6,185,500,30.8,49.29,2024-06-10T18:38:25.000Z
66671dfaa1b633cd774215a7,246,500,31.43,49.35,2024-06-10T18:38:34.000Z
66671e05a1b633cd774215a8,185,501,30.81,49.41,2024-06-10T18:38:45.000Z
66671e19a1b633cd774215a9,185,502,30.8,49.38,2024-06-10T18:39:05.000Z
66671e22a1b633cd774215aa,246,502,31.4,49.19,2024-06-10T18:39:14.000Z
66671e2da1b633cd774215ab,185,503,30.8,49.51,2024-06-10T18:39:25.000Z
66671e41a1b633cd774215ac,185,504,30.8,49.87,2024-06-10T18:39:45.000Z
66671e4aa1b633cd774215ad,246,504,31.37,49.9,2024-06-10T18:39:54.000Z
66671e55a1b633cd774215ae,185,505,30.77,50,2024-06-10T18:40:05.000Z
66671e5ea1b633cd774215af,246,505,31.38,49.8,2024-06-10T18:40:14.000Z
66671e69a1b633cd774215b0,185,506,30.76,49.45,2024-06-10T18:40:25.000Z
66671e72a1b633cd774215b1,246,506,31.37,49.29,2024-06-10T18:40:34.000Z
66671e7da1b633cd774215b2,185,507,30.77,49.35,2024-06-10T18:40:45.000Z
66671e86a1b633cd774215b3,246,507,31.36,49.16,2024-06-10T18:40:54.000Z
66671e9aa1b633cd774215b4,246,508,31.37,48.96,2024-06-10T18:41:14.000Z
66671ea5a1b633cd774215b5,185,509,30.79,48.99,2024-06-10T18:41:25.000Z
66671eaea1b633cd774215b6,246,509,31.38,48.9,2024-06-10T18:41:34.000Z
66671eb9a1b633cd774215b7,185,510,30.8,49.9,2024-06-10T18:41:45.000Z
66671ec2a1b633cd774215b8,246,510,31.4,48.77,2024-06-10T18:41:54.000Z
66671ecda1b633cd774215b9,185,511,30.79,48.96,2024-06-10T18:42:05.000Z
66671ed6a1b633cd774215ba,246,511,31.37,48.7,2024-06-10T18:42:14.000Z
66671eeaa1b633cd774215bb,246,512,31.41,48.64,2024-06-10T18:42:34.000Z
66671ef5a1b633cd774215bc,185,513,30.8,48.64,2024-06-10T18:42:45.000Z
66671efea1b633cd774215bd,246,513,31.4,48.51,2024-06-10T18:42:54.000Z
66671f1da1b633cd774215be,185,515,30.8,48.64,2024-06-10T18:43:25.000Z
66671f31a1b633cd774215bf,185,516,30.81,48.64,2024-06-10T18:43:45.000Z
66671f3aa1b633cd774215c0,246,516,31.41,48.54,2024-06-10T18:43:54.000Z
66671f45a1b633cd774215c1,185,517,30.8,48.64,2024-06-10T18:44:05.000Z
66671f4ea1b633cd774215c2,246,517,31.41,48,2024-06-10T18:44:14.000Z
66671f62a1b633cd774215c3,246,518,31.38,48.22,2024-06-10T18:44:34.000Z
66671f6da1b633cd774215c4,185,519,30.79,48.44,2024-06-10T18:44:45.000Z
